Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
LUNQWIUTCX,2026-07-25 13:47:36,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
DFFDJVOMPN,2026-07-25 13:17:23,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
UGJJQKCGJN,2026-07-24 19:55:25,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
GGLEMOZKEE,2026-07-24 18:46:54,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
NLWTGKZNNS,2026-07-24 18:08:48,completed,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
FSGNFUBGFJ,2026-07-24 15:44:52,completed,DƯA HẤU,Size M,2,20000,,,0,0,0,40000,Tiền mặt,NHUNG,
YWPBVSMOMK,2026-07-24 15:33:09,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
TDAKEHEDXV,2026-07-24 15:33:09,completed,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
RTVVXXQZOQ,2026-07-24 12:31:53,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
AILOEXZVYH,2026-07-24 12:31:53,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
RHZQAKUVQS,2026-07-24 12:31:53,completed,DƯA VÀNG + LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
FDNVLWFWZO,2026-07-23 20:30:28,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
SEGRGQAPMO,2026-07-23 20:30:28,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
FUTUGTFXTW,2026-07-23 18:40:04,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
LROPCTGONX,2026-07-23 18:07:18,completed,ỔI + DỨA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
XTWSMLSOEJ,2026-07-23 18:05:05,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
DXBYOHOHDY,2026-07-23 17:36:39,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
EFRZJREVRO,2026-07-23 17:35:55,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
SVHBBQNTHQ,2026-07-23 17:35:55,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
JMZGJFCSGC,2026-07-23 17:35:55,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
DKWJITGQHV,2026-07-23 17:35:55,completed,CAM,Size M,1,0,,,0,0,0,0,Tiền mặt,NDN,
