Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
OQHHIVIEES,2026-08-08 23:11:06,completed,CAM,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
TCYSXKSHWP,2026-08-08 21:52:31,completed,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
YAJBFOLUXY,2026-08-08 21:52:31,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
BNGICLIUKK,2026-08-08 20:45:45,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
SFDNAMPRLL,2026-08-08 19:54:40,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
MSOPYBNTIL,2026-08-08 19:03:42,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
BYBXLRWAOK,2026-08-08 18:58:43,completed,CÓC,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
PSLGKZGLFJ,2026-08-08 18:23:11,completed,TÁO,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
ZEYMDDLSCX,2026-08-08 17:27:35,completed,CAM,Size L,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
GWHKPCXLVX,2026-08-08 17:20:52,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
SZDHWJDSON,2026-08-08 17:20:52,completed,ỔI,Size L,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
DTAFMOXOOZ,2026-08-08 17:20:52,completed,CÀ RỐT,Size L,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
DKXPZAQHMX,2026-08-08 17:20:52,completed,TÁO,Size M,1,0,,,0,0,0,0,Tiền mặt,NDN,
ATECQVHWSD,2026-08-08 17:02:27,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Tiền mặt,NDN,
VGGDOXGTTS,2026-08-08 17:02:20,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NDN,
JIIYLXCBAG,2026-08-08 15:46:52,completed,CAM,Size M,1,25000,,,25000,0,0,0,Tiền mặt,NHUNG,
UWPTGDVEHA,2026-08-08 15:46:52,completed,DỨA,Size L,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
CABWXGSXAW,2026-08-08 15:46:52,completed,ỔI,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
ZHHKCDZAGD,2026-08-08 15:46:52,completed,DƯA HẤU,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
HAXHMJDDDN,2026-08-08 15:25:02,completed,CAM,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
XULWCSXJVA,2026-08-08 14:20:06,completed,DƯA HẤU,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
RMFDDBVNQP,2026-08-08 13:44:30,completed,ỔI + DỨA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
CYLPKSHGUV,2026-08-08 13:44:30,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
CAHNBBEOGF,2026-08-08 13:19:36,completed,DƯA HẤU,Size L,2,25000,,,0,0,0,50000,Tiền mặt,DAT,
ASIYRPKQIT,2026-08-08 12:22:31,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
NBYSPOTDGS,2026-08-08 12:22:31,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
ZANVIVDDFR,2026-08-08 11:19:33,completed,TÁO,Size M,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
CBOEPZCSPU,2026-08-08 10:16:42,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
DFZWWCYCGI,2026-08-08 09:21:23,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
OTXSFXGEAR,2026-08-08 08:48:25,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
WXBUWWMTKV,2026-08-07 21:41:09,completed,ỔI,Size M,2,20000,,,0,0,0,40000,Tiền mặt,NHUNG,
IOEEJLKULU,2026-08-07 21:32:30,completed,DƯA VÀNG,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
TCYTLTIXCC,2026-08-07 21:18:27,completed,DƯA HẤU,Size L,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
NTYHYEYEUE,2026-08-07 21:10:18,completed,DƯA VÀNG + LÊ,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
FCFUAUFSZA,2026-08-07 20:25:05,completed,LỰU,Size L,1,40000,,,0,0,0,40000,Chuyển khoản,NHUNG,
DIJUENBEOW,2026-08-07 14:54:33,completed,DỨA + TÁO,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
QOBPOHOWWQ,2026-08-07 14:54:33,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
OPEMBVLNSB,2026-08-07 14:54:12,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Tiền mặt,NHUNG,
COSOBDJYGX,2026-08-07 14:54:12,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
WEOGUCJCEV,2026-08-07 14:54:12,completed,DƯA HẤU,Size M,1,20000,,,20000,0,0,0,Tiền mặt,NHUNG,
XPDNMXCSPK,2026-08-07 14:17:56,completed,ỔI + TÁO,Size M,3,25000,,,0,0,0,75000,Chuyển khoản,NHUNG,
UXPMCYAOIN,2026-08-07 14:15:37,completed,LỰU,Size L,1,40000,,,0,0,0,40000,Chuyển khoản,NHUNG,
HHBCHUDGNF,2026-08-07 10:44:04,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
WHVYUCPSQF,2026-08-07 10:44:04,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
NFAMLCBUID,2026-08-06 22:54:38,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
TBTHKHXWEV,2026-08-06 22:08:08,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
YIJTYTVZUY,2026-08-06 20:18:21,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
UNOTIRYTOO,2026-08-06 19:56:07,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
DOITGESDIZ,2026-08-06 18:13:51,completed,DƯA HẤU,Size M,2,20000,,,0,0,0,40000,Chuyển khoản,NHUNG,
XHTDYSMFEA,2026-08-06 18:10:27,completed,LỰU,Size M,2,35000,,,0,0,0,70000,Chuyển khoản,NDN,
KYGTDVDQIK,2026-08-06 18:10:20,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
DEFJNQUZJU,2026-08-06 14:36:28,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
NTVMLHCOUI,2026-08-06 14:15:20,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
PSNFMTCPFC,2026-08-06 12:27:25,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
PAXRZNTUCL,2026-08-06 11:44:15,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
XKKRCLTQVN,2026-08-06 11:37:10,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
ITBDIEOZZK,2026-08-05 15:54:52,completed,ỔI + CÓC,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
RSQYABUEWS,2026-08-05 14:30:14,cancelled,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
ZISNJDZCZV,2026-08-05 14:30:09,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Tiền mặt,DAT,
KEHQKNMJQT,2026-08-05 13:06:56,completed,LỰU,Size M,2,35000,,,0,0,0,70000,Tiền mặt,DAT,
XHXPTBVVGP,2026-08-05 13:06:56,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
WTXJNIVQRM,2026-08-05 13:06:56,completed,DƯA VÀNG,Size M,1,0,,,0,0,0,0,Tiền mặt,DAT,
NPJRMWOUDO,2026-08-05 12:28:26,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
NZEIUAAKWH,2026-08-05 12:28:26,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
ACVVVWXWCW,2026-08-05 12:20:46,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
MDNQSCZMWU,2026-08-05 11:59:10,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
YSCCIMXUST,2026-08-05 11:10:15,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
EHBEQJBXFK,2026-08-05 09:59:56,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
EKGNVQTVKH,2026-08-05 09:56:18,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
BVTVFEEJAZ,2026-08-05 09:56:09,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
YMMEQULIOW,2026-08-05 09:27:46,completed,CÀ PHÊ ĐEN,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
NVXVPQLZZI,2026-08-04 21:58:52,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
FSAPTISZQJ,2026-08-04 20:55:44,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
HZEGQONXQB,2026-08-04 19:54:42,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
FZQZIPAOYX,2026-08-04 19:54:42,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
HNSEWUBGMT,2026-08-04 19:27:52,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
NWXDWBVRBT,2026-08-04 19:27:52,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
QUSAMITVXS,2026-08-04 18:26:02,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
IGFXYMQXXA,2026-08-04 16:30:15,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
OOYYIRGFHN,2026-08-04 16:30:10,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
RJKVUWYISC,2026-08-04 14:26:27,completed,DƯA HẤU,Size M,3,20000,,,0,0,0,60000,Tiền mặt,DAT,
CVVQCXGNBC,2026-08-04 14:26:27,completed,DƯA HẤU,Size M,1,0,,,0,0,0,0,Tiền mặt,DAT,
EAMFMKFVLI,2026-08-04 12:46:30,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
HUQUHUAFTS,2026-08-04 12:45:44,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
RYDGVQPUQC,2026-08-04 10:02:40,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
GMKJGZUDUB,2026-08-04 09:51:50,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
LFDBHXDUZI,2026-08-04 09:51:44,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
KWDQAPSDLW,2026-08-03 20:31:56,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
MYHWXUYVGS,2026-08-03 20:29:08,completed,DƯA HẤU,Size M,2,20000,,,0,0,0,40000,Chuyển khoản,NHUNG,
ZOFOIGLCIK,2026-08-03 20:28:29,completed,LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
QKBJVCMUHS,2026-08-03 20:19:07,completed,DƯA HẤU + CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
EMPMNZIKDS,2026-08-03 19:02:17,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
OIHVKEDHCU,2026-08-03 17:29:18,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
LOYTALYQCK,2026-08-03 17:10:50,completed,LỰU,Size M,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
QQCANIOBOW,2026-08-03 17:10:50,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
XDCRYXFCTG,2026-08-03 14:14:18,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
LWFWKNLIYL,2026-08-03 14:08:00,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
NEDOSZUIKI,2026-08-03 13:13:50,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
XSLGXUMPNF,2026-08-03 11:43:09,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
HWONOSRPTK,2026-08-03 11:43:09,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
HTIXRNNUVT,2026-08-03 10:46:04,completed,DƯA VÀNG,Size M,2,25000,,,0,0,0,50000,Tiền mặt,DAT,
SNQHGIRREJ,2026-08-02 20:53:51,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
NRBKVFMLIX,2026-08-02 20:06:19,completed,LỰU + CAM,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
ASKYQPVEHL,2026-08-02 19:58:48,completed,ỔI + CÓC,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
ANQNTPTSVQ,2026-08-02 19:07:40,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
UGELGHRAHA,2026-08-02 19:07:19,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
DHEYKOFTWS,2026-08-02 19:07:19,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
WXIQVJKGNE,2026-08-02 19:07:19,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
TBVNMLMXHS,2026-08-02 19:07:19,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,25000,0,0,0,Chuyển khoản,NDN,
TYOZPPKXUZ,2026-08-02 18:39:02,cancelled,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
CJUSAJAQTY,2026-08-02 18:04:32,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
HAUMANZAUQ,2026-08-02 18:04:32,completed,LÊ,Size M,1,25000,,,25000,0,0,0,Chuyển khoản,NHUNG,
TOGPOBGMJW,2026-08-02 18:04:32,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
KQUGYCOAXU,2026-08-02 18:04:32,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
FDIBZNSGDB,2026-08-02 13:18:06,completed,DỨA + TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
MXDXDPCYZX,2026-08-02 12:34:36,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
AKGOZCMIVG,2026-08-02 12:34:36,completed,LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
CLUOVZGNLD,2026-08-02 12:34:36,completed,ỔI + CÓC,Size M,1,25000,,,25000,0,0,0,Chuyển khoản,NHUNG,
TIMQRGKPVK,2026-08-02 12:34:36,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
MZBVXUUEKF,2026-08-02 12:33:14,completed,CÀ PHÊ MUỐI,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NHUNG,
RYELPDAYEY,2026-08-02 10:27:27,completed,CÀ PHÊ SỮA,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NHUNG,
RIVHAAAMBL,2026-08-02 10:27:27,completed,DƯA HẤU + TÁO,Size M,2,25000,,,12500,0,0,25000,Tiền mặt,NHUNG,
ROWDAVZCQF,2026-08-01 22:12:27,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
HELSZLXRQO,2026-08-01 21:53:20,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
THZZIUOBZR,2026-08-01 21:53:20,completed,DƯA VÀNG + TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
XHABRBPBMF,2026-08-01 21:40:57,completed,ỔI + CÓC,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
CHBRLWXBSD,2026-08-01 21:40:57,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
WCTSHRDONC,2026-08-01 21:40:57,completed,ỔI + DỨA,Size M,1,25000,,,25000,0,0,0,Chuyển khoản,NHUNG,
OMXIRURKNJ,2026-08-01 21:40:34,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
NMIAUUWKVT,2026-08-01 21:40:28,completed,ỔI + CÓC,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
NLTBTEOMTO,2026-08-01 20:37:06,completed,LÊ,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
KJNHULABRC,2026-08-01 20:22:09,completed,DƯA VÀNG + TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
FHWIYPDZRA,2026-08-01 19:37:33,completed,CÀ PHÊ ĐEN,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
ZHQVFIBSOT,2026-08-01 19:06:59,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
CVOIVEWMTJ,2026-08-01 19:06:59,completed,ỔI + CÓC,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
TKIUKNKGMJ,2026-08-01 19:06:59,completed,CAM + CÀ RỐT,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
LMBJHIFDOO,2026-08-01 19:06:59,completed,DƯA VÀNG,Size M,3,25000,,,0,0,0,75000,Chuyển khoản,NHUNG,
VKVPBVWNFG,2026-08-01 19:06:59,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
YYPXTKJQQR,2026-08-01 19:06:59,completed,DƯA HẤU,Size M,3,20000,,,20000,0,0,0,Chuyển khoản,NHUNG,
KCKGJXXEJN,2026-08-01 19:06:59,completed,CÓC + TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
GPOCGLRKHM,2026-08-01 16:40:49,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
PSEAUWEBNS,2026-08-01 16:40:49,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
KELPMWMAAC,2026-08-01 16:15:00,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
MJJWEEEMMA,2026-08-01 16:15:00,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
CZMIRARXNJ,2026-08-01 16:05:31,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Tiền mặt,NHUNG,
QTUIQAUKLX,2026-08-01 15:33:12,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
GPMZQJTJSE,2026-08-01 13:32:22,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
EXGWQSKWJV,2026-08-01 13:16:31,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
FJKBMBBVPI,2026-08-01 13:16:31,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
RQDQMJQUBZ,2026-07-31 21:57:45,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
TDPWUFXCPW,2026-07-31 21:56:54,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
TCKDCPSOJK,2026-07-31 21:56:54,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
HBIWZIALRH,2026-07-31 21:27:25,completed,CÓC + TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
GFBSLWVTPL,2026-07-31 21:27:25,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NDN,
BYOZYFXSWM,2026-07-31 20:43:53,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
BEMWNQYDGL,2026-07-31 20:43:45,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
KDBVTYXJIF,2026-07-31 20:41:53,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
JLGWBSHIYG,2026-07-31 20:41:53,completed,ỔI + DỨA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
CERPHXHCCI,2026-07-31 20:41:53,completed,DƯA VÀNG,Size M,1,25000,,,25000,0,0,0,Chuyển khoản,NDN,
CTGNSHQCSJ,2026-07-31 20:41:53,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
UHMPAQQSYI,2026-07-31 20:21:05,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
LPEMVDBGGT,2026-07-31 19:52:02,completed,CÀ PHÊ ĐEN,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
PNECGSHUUS,2026-07-31 19:31:53,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
JRDZEDQNSY,2026-07-31 18:25:11,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
VJTNMJQFDI,2026-07-31 18:25:11,completed,DƯA HẤU,Size M,2,20000,,,0,0,0,40000,Chuyển khoản,NHUNG,
WFTOHAECKF,2026-07-31 18:25:11,completed,CAM,Size M,1,25000,,,25000,0,0,0,Chuyển khoản,NHUNG,
IFUVSSJJTC,2026-07-31 15:17:03,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
OCTXETSDPT,2026-07-31 13:42:51,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
ACRAJBPRIZ,2026-07-31 13:03:50,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
VJYZSQMYAF,2026-07-31 13:03:50,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
JIFHIUMLKP,2026-07-31 11:16:24,completed,CAM,Size M,4,25000,,,6200,0,0,75200,Chuyển khoản,NHUNG,
WNVDLQPKMR,2026-07-31 11:13:29,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
PZAFQYWGIZ,2026-07-31 11:13:29,completed,CAM + TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
HAWCSSPCKZ,2026-07-31 11:13:29,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
ROJZNWYTPP,2026-07-31 11:13:29,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
RTJGQHHTOZ,2026-07-31 09:23:21,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
TZGTYWVCQQ,2026-07-30 15:44:25,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
FEGLUZRRSX,2026-07-30 12:19:56,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
